"runno","geoID","roi_colstart","roi_colstop","roi_rowstart","roi_rowstop","minocc"
"1113","46",105,220,2,510,0.1
"1111","46",105,220,2,510,0.1
"1110","46",105,220,2,510,0.1
"1104","46",105,220,2,510,0.1
"1102","46",105,220,2,510,0.1
"1080","46",105,220,2,510,0.1
"1079","46",105,220,2,510,0.1
"1078","46",105,220,2,510,0.1
"1077","46",105,220,2,510,0.1
"1017","46",230,335,2,510,0.1
"992","46",482,494,2,510,0.1
"992","46",450,470,2,510,0.1
"991","46",482,494,2,510,0.1
"991","46",450,470,2,510,0.1
"990","46",482,494,2,510,0.1
"989","46",482,494,2,510,0.1
"989","46",450,470,2,510,0.1
"884","36",230,335,2,510,0.1
"882","36",230,335,2,510,0.1
"880","36",105,220,2,510,0.1
"859","36",105,220,2,510,0.1
"858","36",105,220,2,510,0.1
"857","36",105,220,2,510,0.1
"823","35",482,494,2,510,-1
"823","35",450,470,2,510,-1
"822","35",305,440,2,510,-1
"820","35",105,220,2,510,-1
"818","34",105,220,2,510,-1
"816","34",305,440,2,510,-1
"815","34",482,494,2,510,-1
"815","34",450,470,2,510,-1
"814","33",482,494,2,510,-1
"814","33",450,470,2,510,-1
"813","33",305,440,2,510,-1
"812","33",105,220,2,510,-1
"811","32",105,220,2,510,-1
"810","32",305,440,2,510,-1
"809","32",482,494,2,510,-1
"809","32",450,470,2,510,-1
"808","32",482,494,2,510,-1
"808","32",450,470,2,510,-1
"807","31",482,494,2,510,-1
"807","31",450,470,2,510,-1
"806","31",305,440,2,510,-1
"804","31",105,220,2,510,-1
"801","30",105,220,2,510,-1
"800","30",305,440,2,510,-1
"798","30",482,494,2,510,-1
"798","30",450,470,2,510,-1
"797","29",482,494,2,510,-1
"797","29",450,470,2,510,-1
"796","29",305,440,2,510,-1
"795","29",105,220,2,510,-1
"794","28",105,220,2,510,-1
"793","27",105,220,2,510,-1
"792","28",305,440,2,510,-1
"791","28",482,494,2,510,-1
"791","28",450,470,2,510,-1
"787","27",105,220,2,510,0.1
"785","27",105,220,2,510,0.1
"784","27",105,220,2,510,0.1
"783","27",230,335,2,510,0.1
"782","27",230,335,2,510,0.1
"780","27",230,335,2,510,0.1
"769","27",482,494,2,510,0.1
"769","27",450,470,2,510,0.1
"768","27",482,494,2,510,0.1
"768","27",450,470,2,510,0.1
"767","27",482,494,2,510,0.1
"767","27",450,470,2,510,0.1
"766","27",482,494,2,510,0.1
"766","27",450,470,2,510,0.1
"765","27",482,494,2,510,0.1
"765","27",450,470,2,510,0.1
"764","27",482,494,2,510,0.1
"764","27",450,470,2,510,0.1
"758","27",482,494,2,510,-1
"758","27",450,470,2,510,-1
"757","27",482,494,2,510,-1
"757","27",450,470,2,510,-1
"756","27",482,494,2,510,-1
"756","27",450,470,2,510,-1
"718","26",482,494,2,510,-1
"718","26",450,470,2,510,-1
"717","25",305,440,2,510,-1
"716","24",105,220,2,510,-1
"715","23",105,220,2,510,-1
"713","22",305,440,2,510,-1
"712","22",482,494,2,510,-1
"712","22",450,470,2,510,-1
"711","21",482,494,2,510,-1
"711","21",450,470,2,510,-1
"710","21",305,440,2,510,-1
"708","20",105,220,2,510,-1
"707","19",105,220,2,510,-1
"705","18",305,440,2,510,-1
"704","18",482,494,2,510,-1
"704","18",450,470,2,510,-1
"703","17",482,494,2,510,-1
"703","17",450,470,2,510,-1
"702","17",305,440,2,510,-1
"700","16",105,220,2,510,-1
"698","15",105,220,2,510,-1
"697","15",305,440,2,510,-1
"696","15",482,494,2,510,-1
"696","15",450,470,2,510,-1
"695","14",482,494,2,510,-1
"695","14",450,470,2,510,-1
"694","14",105,220,2,510,-1
"693","14",305,440,2,510,-1
"692","13",305,440,2,510,-1
"691","13",105,220,2,510,-1
"690","13",482,494,2,510,-1
"690","13",450,470,2,510,-1
"686","12",482,492,2,510,-1
"685","12",482,492,2,510,-1
"684","12",482,492,2,510,-1
"683","12",482,492,2,510,-1
"682","12",482,492,2,510,-1
"681","12",482,492,2,510,-1
"680","12",482,492,2,510,-1
"679","12",482,492,2,510,-1
"678","12",482,492,2,510,-1
"677","12",482,492,2,510,-1
"676","12",482,492,2,510,0.1
"675","12",450,470,2,510,0.1
"674","12",450,470,2,510,0.1
"673","12",450,470,2,510,0.1
"672","12",482,494,2,510,0.1
"671","12",482,494,2,510,0.1
"670","12",482,494,2,510,0.1
"660","12",105,220,2,510,0.1
"659","12",230,335,2,510,0.1
"658","12",230,335,2,510,0.1
"657","12",230,335,2,510,0.1
"650","12",105,220,2,510,0.1
"647","11",230,335,2,510,0.1
"646","11",230,335,2,510,0.1
"645","10",450,470,2,510,0.1
"644","9",105,220,2,510,0.1
"643","9",482,494,2,510,0.1
"626","8",105,220,2,510,0.1
"621","7",105,220,2,510,0.1
"620","6",105,220,2,510,0.1
"616","5",105,220,2,510,0.1
"614","4",105,220,2,510,0.1
"599","3",105,220,2,510,0.1
"598","3",105,220,2,510,0.1
"579","1",105,220,2,510,0.1
"1040","46",105,220,2,510,0.1
"1039","46",105,220,2,510,0.1
"1038","46",105,220,2,510,0.1
"1037","46",105,220,2,510,0.1
"1036","46",105,220,2,510,0.1
"1035","46",105,220,2,510,0.1
"1034","46",105,220,2,510,0.1
"1033","46",105,220,2,510,0.1
"1032","46",105,220,2,510,0.1
"1031","46",105,220,2,510,0.1
"1022","46",105,220,2,510,0.1
"1021","46",105,220,2,510,0.1
"1020","46",105,220,2,510,0.1
"1019","46",105,220,2,510,0.1
"958","45",305,440,2,510,0.1
"957","45",305,440,2,510,0.1
"956","45",305,440,2,510,0.1
"954","45",105,220,2,510,0.1
"953","45",105,220,2,510,0.1
"952","45",105,220,2,510,0.1
"949","44",105,220,2,510,0.1
"948","44",105,220,2,510,0.1
"947","44",105,220,2,510,0.1
"945","44",305,440,2,510,0.1
"944","44",305,440,2,510,0.1
"943","44",305,440,2,510,0.1
"941","43",305,440,2,510,0.1
"940","43",305,440,2,510,0.1
"939","43",305,440,2,510,0.1
"937","43",105,220,2,510,0.1
"936","43",105,220,2,510,0.1
"935","43",105,220,2,510,0.1
"933","42",105,220,2,510,0.1
"932","42",105,220,2,510,0.1
"931","42",105,220,2,510,0.1
"929","42",305,440,2,510,0.1
"928","42",305,440,2,510,0.1
"927","42",305,440,2,510,0.1
"923","41",305,440,2,510,0.1
"922","41",305,440,2,510,0.1
"920","41",105,220,2,510,0.1
"919","41",105,220,2,510,0.1
"918","41",105,220,2,510,0.1
"914","40",5,115,2,510,0.1
"910","39",105,220,2,510,0.1
"909","39",105,220,2,510,0.1
"908","39",105,220,2,510,0.1
"905","39",305,440,2,510,0.1
"904","39",305,440,2,510,0.1
"903","39",305,440,2,510,0.1
"901","38",305,440,2,510,0.1
"900","38",305,440,2,510,0.1
"899","38",305,440,2,510,0.1
"897","38",105,220,2,510,0.1
"896","38",105,220,2,510,0.1
"895","38",105,220,2,510,0.1
"893","37",305,440,2,510,0.1
"892","37",305,440,2,510,0.1
"891","37",305,440,2,510,0.1
"889","37",305,440,2,510,0.1
"888","37",305,440,2,510,0.1
"887","37",305,440,2,510,0.1
"762","27",482,494,2,510,0.1
"762","27",450,470,2,510,0.1
"761","27",482,494,2,510,0.1
"761","27",450,470,2,510,0.1
"760","27",482,494,2,510,0.1
"760","27",450,470,2,510,0.1
"755","27",482,494,2,510,-1
"755","27",450,470,2,510,-1
"754","27",482,494,2,510,-1
"754","27",450,470,2,510,-1
"753","27",482,494,2,510,-1
"753","27",450,470,2,510,-1
"752","27",482,494,2,510,-1
"752","27",450,470,2,510,-1
"751","27",482,494,2,510,-1
"751","27",450,470,2,510,-1
"750","27",482,494,2,510,-1
"750","27",450,470,2,510,-1
"749","27",482,494,2,510,-1
"749","27",450,470,2,510,-1
"748","27",482,494,2,510,-1
"748","27",450,470,2,510,-1
"747","27",482,494,2,510,-1
"747","27",450,470,2,510,-1
"746","27",482,494,2,510,-1
"746","27",450,470,2,510,-1
"745","27",482,494,2,510,-1
"745","27",450,470,2,510,-1
"744","27",482,494,2,510,-1
"744","27",450,470,2,510,-1
"1008","46",482,494,2,510,0.1
"1008","46",450,470,2,510,0.1
"1007","46",482,494,2,510,0.1
"1007","46",450,470,2,510,0.1
"1006","46",482,494,2,510,0.1
"1006","46",450,470,2,510,0.1
"1005","46",482,494,2,510,0.1
"1005","46",450,470,2,510,0.1
"1004","46",482,494,2,510,0.1
"1004","46",450,470,2,510,0.1
"1003","46",482,494,2,510,0.1
"1003","46",450,470,2,510,0.1
"1002","46",482,494,2,510,0.1
"1002","46",450,470,2,510,0.1
"1001","46",482,494,2,510,0.1
"1001","46",450,470,2,510,0.1
"1000","46",482,494,2,510,0.1
"1000","46",450,470,2,510,0.1
"999","46",482,494,2,510,0.1
"999","46",450,470,2,510,0.1
"998","46",482,494,2,510,0.1
"998","46",450,470,2,510,0.1
"997","46",482,494,2,510,0.1
"997","46",450,470,2,510,0.1
"996","46",482,494,2,510,0.1
"996","46",450,470,2,510,0.1
"995","46",482,494,2,510,0.1
"995","46",450,470,2,510,0.1
"994","46",482,494,2,510,0.1
"994","46",450,470,2,510,0.1
"974","46",305,440,2,510,0.1
"973","46",305,440,2,510,0.1
"972","46",305,440,2,510,0.1
"971","46",305,440,2,510,0.1
"970","46",305,440,2,510,0.1
"969","46",305,440,2,510,0.1
"968","46",305,440,2,510,0.1
"967","46",305,440,2,510,0.1
"966","46",305,440,2,510,0.1
"965","46",305,440,2,510,0.1
"964","46",305,440,2,510,0.1
"963","46",305,440,2,510,0.1
"962","46",305,440,2,510,0.1
"961","46",305,440,2,510,0.1
"960","46",305,440,2,510,0.1
"924","41",305,440,2,510,0.1
"875","36",105,220,2,510,-1
"874","36",105,220,2,510,-1
"873","36",105,220,2,510,-1
"872","36",105,220,2,510,-1
"871","36",105,220,2,510,-1
"870","36",105,220,2,510,-1
"869","36",105,220,2,510,-1
"868","36",105,220,2,510,-1
"867","36",105,220,2,510,-1
"866","36",105,220,2,510,-1
"865","36",105,220,2,510,-1
"864","36",105,220,2,510,-1
"863","36",105,220,2,510,-1
"862","36",105,220,2,510,-1
"861","36",105,220,2,510,-1
"856","36",482,494,2,510,-1
"856","36",450,470,2,510,-1
"855","36",482,494,2,510,-1
"855","36",450,470,2,510,-1
"854","36",482,494,2,510,-1
"854","36",450,470,2,510,-1
"853","36",482,494,2,510,-1
"853","36",450,470,2,510,-1
"852","36",482,494,2,510,-1
"852","36",450,470,2,510,-1
"851","36",482,494,2,510,-1
"851","36",450,470,2,510,-1
"850","36",482,494,2,510,-1
"850","36",450,470,2,510,-1
"849","36",482,494,2,510,-1
"849","36",450,470,2,510,-1
"848","36",482,494,2,510,-1
"848","36",450,470,2,510,-1
"847","36",482,494,2,510,-1
"847","36",450,470,2,510,-1
"846","36",482,494,2,510,-1
"846","36",450,470,2,510,-1
"845","36",482,494,2,510,-1
"845","36",450,470,2,510,-1
"844","36",482,494,2,510,-1
"844","36",450,470,2,510,-1
"843","36",482,494,2,510,-1
"843","36",450,470,2,510,-1
"842","36",482,494,2,510,-1
"842","36",450,470,2,510,-1
"841","36",482,494,2,510,-1
"841","36",450,470,2,510,-1
"840","36",482,494,2,510,-1
"840","36",450,470,2,510,-1
"839","36",482,494,2,510,-1
"839","36",450,470,2,510,-1
"838","36",482,494,2,510,-1
"838","36",450,470,2,510,-1
"837","36",482,494,2,510,-1
"837","36",450,470,2,510,-1
"836","36",482,494,2,510,-1
"836","36",450,470,2,510,-1
"835","36",482,494,2,510,-1
"835","36",450,470,2,510,-1
"834","36",482,494,2,510,-1
"834","36",450,470,2,510,-1
"833","36",482,494,2,510,-1
"833","36",450,470,2,510,-1
"832","36",482,494,2,510,-1
"832","36",450,470,2,510,-1
"831","36",482,494,2,510,-1
"831","36",450,470,2,510,-1
"830","36",482,494,2,510,-1
"830","36",450,470,2,510,-1
"829","36",482,494,2,510,-1
"829","36",450,470,2,510,-1
"828","36",482,494,2,510,-1
"828","36",450,470,2,510,-1
"827","36",482,494,2,510,-1
"827","36",450,470,2,510,-1
"826","36",482,494,2,510,-1
"826","36",450,470,2,510,-1
1087,46,230,330,2,510,0.1
1076,46,105,220,2,510,0.1
1052,46,482,494,2,510,0.1
1052,46,450,470,2,510,0.1
1042,46,105,220,2,510,0.1
1012,46,482,494,2,510,0.1
1012,46,450,470,2,510,0.1
1011,46,105,220,2,510,0.1
879,36,105,220,2,510,0.1
789,27,482,494,2,510,0.1
789,27,450,470,2,510,0.1
788,27,482,494,2,510,0.1
788,27,450,470,2,510,0.1
719,27,482,494,2,510,0.1
719,27,450,470,2,510,0.1
688,12,482,494,2,510,0.1
688,12,450,470,2,510,0.1
687,12,482,494,2,510,0.1
